Code,Description
"06022","Airmark Corporation (System)"
"06023","Airmark Corporation (Domestic)"
"06024","Air Wisconsin Airlines Corp (Domestic)"
"06025","Air National (Domestic)"
"06026","Air Puerto Rico Airlines (System)"
"06027","Air Puerto Rico Airlines (Domestic)"
"06028","Air Transport International (System)"
"06029","Air Transport International (Domestic)"
"06030","AirTran Airways Corporation (Domestic)"
"06031","Alaska Airlines Inc. (Domestic)"
"06032","Air South Inc. (1) (Domestic)"
"06033","All Star Airlines Inc. (System)"
"06034","All Star Airlines Inc. (Domestic)"
"06035","Allegiant Air (Domestic)"
"06036","Air 21 (Domestic)"
"06037","UltrAir (System)"
"06038","Sky King Inc. (System)"
"06038 (1)","UltrAir (Domestic)"
"06039","Sky King Inc. (Domestic)"
"06041","NetJets Large Aircraft Company L.L.C. (System)"
"06042","American International Airways Inc. (System)"
"06043","American International Airways Inc. (Domestic)"
"06044","Aviation Concepts (Domestic)"
"06045","Aviation Concepts (System)"
"06047","ATA Airlines d/b/a ATA (System)"
"06048","ATA Airlines d/b/a ATA (Domestic)"
"06049","America West Airlines Inc. (Domestic)"
"06051","Amerijet International (System)"
"06052","Amerijet International (Domestic)"
"06053","Airmark Airlines Inc. (System)"
"06054","Airmark Airlines Inc. (Domestic)"
"06055","Ameristar Air Cargo (Domestic)"
"06057","Arista International Airlines Inc. (System)"
"06058","Arista International Airlines Inc. (Domestic)"
"06060","Arrow Air Inc. (System)"
"06061","Arrow Air Inc. (Domestic)"
"06069","Asia Pacific (System)"
"06070","Asia Pacific (Domestic)"
"06075","Aspen Airways Inc. (Domestic)"
"06076","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines (Domestic)"
"06077","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines (System)"
"06080","Atlantic Gulf Airlines (Domestic)"
"06081","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways (Domestic)"
"06085","ExpressJet Airlines LLC d/b/a aha! (Domestic)"
"06086","Atlas Air Inc. (System)"
"06087","Atlas Air Inc. (Domestic)"
"06091","Av Atlantic (System)"
"06092","Av Atlantic (Domestic)"
"06093","Bellair Inc. (Domestic)"
"06095","Best Airlines Inc. (Domestic)"
"06110","Blue Bell Inc. (System)"
"06111","Blue Bell Inc. (Domestic)"
"06120","Braniff International Airlines Inc. (Domestic)"
"06130","ExpressJet Airlines Inc. (Domestic)"
"06136","Buffalo Airways Inc. (System)"
"06137","Buffalo Airways Inc. (Domestic)"
"06140","Business Express (Domestic)"
"06143","TEM Enterprises dba  Avelo Airlines (System)"
"06144","TEM Enterprises dba  Avelo Airlines (Domestic)"
"06150","Capitol International Inc. (Domestic)"
"06159","Capitol Air Express Inc. (System)"
"06160","Capitol Air Express Inc. (Domestic)"
"06164","Capital Cargo International (System)"
"06165","Capital Cargo International (Domestic)"
"06166","Chicago Express Airlines (Domestic)"
"06170","Astar USA, LLC (Domestic)"
"06175","Custom Air Transport (Domestic)"
"06178","Centurion Cargo Inc. (System)"
"06179","Centurion Cargo Inc. (Domestic)"
"06180","Cascade Airways Inc. (Domestic)"
"06181","Challenge Air International Inc. (System)"
"06182","Challenge Air International Inc. (Domestic)"
"06183","Challenge Air Transport Inc. (System)"
"06184","Challenge Air Transport Inc. (Domestic)"
"06185","Colgan Airways Inc. (Domestic)"
"06186","Comair Inc. (Domestic)"
"06187","ExpressJet Airlines Inc. (Domestic)"
"06188","Conner Air Lines Inc. (System)"
"06189","Conner Air Lines Inc. (Domestic)"
"06191","Kitty Hawk International (Domestic)"
"06194","Discovery Airways Inc. (Domestic)"
"06195","Emerald Airlines Inc. (Domestic)"
"06196","Executive Airlines (Domestic)"
"06197","Evergreen International Inc. (System)"
"06198","Evergreen International Inc. (Domestic)"
"06200","Federal Express Corporation (Domestic)"
"06201","Florida Express Inc. (Domestic)"
"06202","Five Star Airlines (System)"
"06203","Five Star Airlines (Domestic)"
"06205","Flagship Airlines Inc. (Domestic)"
"06206","Frontier Horizon Inc. (Domestic)"
"06220","Kiwi International (Domestic)"
"06279","Eagle Airlines (System)"
"06280","Eagle Airlines (Domestic)"
"06290","Eastwind Airlines Inc. (Domestic)"
"06299","Empire Airlines Inc. (Domestic)"
"06300","Empire Airlines Inc. (Domestic)"
"06399","Falcon Air Express (System)"
